date,NA,de,en,es,fr,ja,ru,zh
2015-07-01,102.7335449151373,763.76592558461,3767.328604465,1127.485204043982,499.09287231531744,614.6371598859809,663.1992291520672,272.4985208073105
2015-07-02,107.66344694356286,753.3628614214953,3755.158765454061,1077.4854254298575,502.2978522539533,705.8132158590308,674.6770147161878,272.9067779896128
2015-07-03,101.76962881192216,723.074415389932,3565.225695988615,990.8959486384769,483.0075525135709,637.4516714174657,625.3297827610371,271.0971665242259
2015-07-04,86.85387056713122,663.537322889068,3711.7829316018856,930.3031510589624,516.2757847533633,800.897434568541,588.1718290119131,273.7123791992637
2015-07-05,96.25410514695736,771.3586568367699,3833.433024993329,1011.7595749391188,506.8716662733066,768.3523192536927,626.3853538892782,291.97771349681153
2015-07-06,110.18814681937351,849.0806358714434,4127.429066975007,1153.0918013430744,528.0727519471324,669.5444933920705,674.7646811492642,293.49063177963313
2015-07-07,116.86559955843798,823.4225319663633,3906.341723739216,1123.9424396723489,510.42648100070807,651.2989375485877,659.297617379117,293.1703372559332
2015-07-08,121.97978473851248,835.4553046883999,3685.854620652851,1090.8321895063095,501.0336322869955,647.3724280901788,656.2095304835319,300.82420616659
2015-07-09,106.40892783220644,804.3295127289483,3771.183714311127,1070.245812117187,495.8481236724097,631.0906452448821,672.2009810791872,298.9834330418776
2015-07-10,107.5148337242997,749.5936528049764,3749.860313083696,972.9523282414582,467.9431791361813,655.6783622700182,769.7875963559916,310.8197357175728
2015-07-11,80.85042086380571,693.4566294205737,3770.7493551543184,875.0256069662755,463.7384942176068,677.1350090697072,708.7627890679747,290.03372559332064
2015-07-12,83.58327583827791,822.6737703029605,4148.30957039936,996.952918603793,529.5782393202737,728.5180616740088,783.9852838121934,326.757872592203
2015-07-13,97.89568097143646,897.6529201704873,4108.832028817931,1131.0076009150616,516.4164503186216,648.557605597305,808.5812894183601,299.8468871211623
2015-07-14,110.45894853042638,854.2984679184426,4132.172907586943,1187.7566231274443,553.8417512390843,607.597408655092,783.7642606867554,283.2135296824666
2015-07-15,116.93273078515249,797.3646469300771,3820.0363781908745,1122.5125083019702,510.999350955865,608.9253174397512,750.1390329362298,277.7466307277628
2015-07-16,112.37298192355458,789.7384517912683,3865.118785021791,1068.8761715002584,499.6869247108804,696.5926405804613,764.9537491240364,277.04779435934523
2015-07-17,123.02242307161583,812.816150213109,3704.779284888375,961.9627333776106,481.0021831484541,833.9066079295154,755.4293622985284,278.2432450200513
2015-07-18,110.59079619152752,956.3728833083746,3575.875033354087,836.9722529702605,486.9009322633939,701.2216118165328,677.2567624386826,289.96739201893365
2015-07-19,101.74003035738926,902.9080175095036,3795.939384505915,895.2587262932625,527.8777436865707,687.6194869137082,750.1433076384022,326.9155874038525
2015-07-20,101.85566441286048,827.3826748070499,3989.287956950992,1051.6884362777655,514.7816851545905,687.7578647317958,769.690819901892,307.4452041285912
2015-07-21,126.03318614599144,771.6061513650501,3799.924352930712,1041.7517526381816,501.3542600896861,600.951127235035,749.0845129642607,302.4626257313786
2015-07-22,135.64143783634609,787.2030872019352,3740.162812416615,1072.0226551546011,504.4959877271655,602.9969422130085,731.1231254379818,306.2168167773322
2015-07-23,119.24106526838692,764.7166225089276,3683.8274926621007,1005.8203822596118,475.229879631815,572.8430681523711,657.0175192711984,272.52488330813225
2015-07-24,112.74734372843936,725.2326344891142,3581.257715912123,893.394804811453,444.9047675241917,521.1874060637471,582.9634898388227,236.69752153047136
2015-07-25,102.53180626466124,720.9161962907499,3588.383883305168,800.5394435834994,445.8567382582016,508.0355014252397,531.6035739313245,227.7276970613372
2015-07-26,97.61349523940942,753.5033982260109,3844.289869251979,882.8938085750129,483.7693533160255,543.9629955947137,593.9819201121234,245.87423575044372
2015-07-27,123.63874706775218,806.7126483124064,3906.368985146313,1016.8628883477236,468.98265282039176,525.6681005441824,641.915627189909,245.8474130563408
2015-07-28,116.95473989236926,800.291729063472,3848.914346704616,1009.3094974540624,463.1850365824876,513.8374708473698,618.4803784162578,242.69633817631976
2015-07-29,124.90789292120876,798.2444418845755,4491.55945921907,1020.63744373109,469.81767760207697,559.5305001295673,606.3687456201822,245.1142594175268
2015-07-30,119.03256519939283,762.9864646930077,3519.946500044472,970.7634122942956,448.534812367241,504.7996890386111,591.5365802382621,235.6780619288673
2015-07-31,200.13315854836483,714.6383481165765,3404.818464822556,877.0405874105232,421.3418102430965,473.0803835190464,581.0437981779958,222.08553020840185
